# Muon transport coefficients from PROPOSAL in StandardRock (rho = 2.65 g/cm^3), per km of water-equivalent column at rho = 1.02 g/cm^3.
# Bremsstrahlung + e+e- pair production (Kelner-Kokoulin-Petrukhin, with LPM suppression) + photonuclear (ALLM97, Butkevich-Mikheyev shadowing); no ionization.
# b_mu = <y>, d_mu = <y^2>, t_mu = <y^3> per unit length.
# The last three are the log-loss moments the first-passage range needs, Phi^(n)(0) = <(-ln(1-y))^n>, which no family calibrated to the y-moments reproduces: a two-moment fit is 8% low on the first and 56% low on the second.
# E [GeV], b_mu [km^-1], d_mu [km^-1], t_mu [km^-1], phi1 [km^-1], phi2 [km^-1], phi3 [km^-1]
1.000000000000000000e+02,3.118634161601083199e-01,5.965969314354604980e-02,3.241563142810431619e-02,3.715521008869001607e-01,1.866084957213884066e-01,3.289883454406891672e-01
1.333521432163323936e+02,3.257316979914933741e-01,6.251855721045346259e-02,3.424501023921591031e-02,3.889105412907300496e-01,1.990738504317513258e-01,3.589039155042886287e-01
1.778279410038922776e+02,3.389434579116251123e-01,6.539425274616966766e-02,3.610069770207374046e-02,4.056689163249583285e-01,2.118335207468309833e-01,3.899929007402854197e-01
2.371373705661655151e+02,3.514225031091958162e-01,6.826326985717348639e-02,3.797093444390346045e-02,4.217322041088918949e-01,2.248160448077199391e-01,4.220866512086999811e-01
3.162277660168379612e+02,3.631189605657275110e-01,7.110914756142597271e-02,3.984413691658653806e-02,4.370278728319570982e-01,2.379664998792149766e-01,4.551374886382956730e-01
4.216965034285822753e+02,3.740019581763087131e-01,7.391258994467865551e-02,4.170806943990417598e-02,4.515019501005106406e-01,2.512081270889728879e-01,4.889622188618675258e-01
5.623413251903490391e+02,3.840527846270269663e-01,7.665068807887660818e-02,4.355076433366605188e-02,4.651221765900809269e-01,2.644770941278930532e-01,5.234699746866465775e-01
7.498942093324558300e+02,3.932879209451113356e-01,7.930963231042970074e-02,4.536009442603140124e-02,4.778710057712053372e-01,2.776960052250592170e-01,5.584697163099696660e-01
1.000000000000000000e+03,4.016563797139727776e-01,8.186877057109015476e-02,4.712442489857449762e-02,4.897491488807295679e-01,2.907975825546424975e-01,5.938374254271753250e-01
1.333521432163324107e+03,4.093012761757613416e-01,8.431426566882982421e-02,4.883253659068538532e-02,5.007685708226490284e-01,3.037072896555120249e-01,6.293771000996180032e-01
1.778279410038922833e+03,4.162153232759700505e-01,8.663622677110245640e-02,5.047425086364718677e-02,5.109533005729417487e-01,3.163596740552910846e-01,6.649406823638034369e-01
2.371373705661655094e+03,4.224584109187598524e-01,8.883674330197474656e-02,5.204053427236676743e-02,5.203352803817211658e-01,3.286873248764407562e-01,7.003304203504969738e-01
3.162277660168379498e+03,4.280725243303754590e-01,9.089899516761461296e-02,5.352401503190677007e-02,5.289541426575480321e-01,3.406315643267064375e-01,7.353782320276202045e-01
4.216965034285822185e+03,4.331143921840974187e-01,9.282077798431841165e-02,5.491915687159998338e-02,5.368548764020641961e-01,3.521390864094011142e-01,7.699102653257362538e-01
5.623413251903491073e+03,4.376417999236791312e-01,9.460289754940649776e-02,5.622250939186362179e-02,5.440863919627867418e-01,3.631626737012242923e-01,8.037407452149432086e-01
7.498942093324558300e+03,4.417117014775244210e-01,9.624899579175952291e-02,5.743285991254257206e-02,5.507006760866293149e-01,3.736663138945672258e-01,8.367132061601679771e-01
1.000000000000000000e+04,4.453798743485001821e-01,9.776533248625210448e-02,5.855105322192191708e-02,5.567508270636243317e-01,3.836216990862664211e-01,8.686655741139882592e-01
1.333521432163324062e+04,4.486989820628931591e-01,9.916015802616739983e-02,5.957993835475550864e-02,5.622906564339849034e-01,3.930122414161112410e-01,8.994663116327348273e-01
1.778279410038922651e+04,4.517187442015263565e-01,1.004433825536253932e-01,6.052406182865030515e-02,5.673733717593245629e-01,4.018304866702224198e-01,9.289915762272699107e-01
2.371373705661655185e+04,4.544844294351821357e-01,1.016259458435343210e-01,6.138935253078610377e-02,5.720510155713429690e-01,4.100798351808253583e-01,9.571497044223089556e-01
3.162277660168379225e+04,4.570378353450958442e-01,1.027195644140170699e-01,6.218279809272168890e-02,5.763738170945601480e-01,4.177724606436256649e-01,9.838660675000404643e-01
