# Muon transport coefficients from PROPOSAL in Water (rho = 1.0 g/cm^3), per km of water-equivalent column at rho = 1.02 g/cm^3.
# Bremsstrahlung + e+e- pair production (Kelner-Kokoulin-Petrukhin, with LPM suppression) + photonuclear (ALLM97, Butkevich-Mikheyev shadowing); no ionization.
# b_mu = <y>, d_mu = <y^2>, t_mu = <y^3> per unit length.
# The last three are the log-loss moments the first-passage range needs, Phi^(n)(0) = <(-ln(1-y))^n>, which no family calibrated to the y-moments reproduces: a two-moment fit is 8% low on the first and 56% low on the second.
# E [GeV], b_mu [km^-1], d_mu [km^-1], t_mu [km^-1], phi1 [km^-1], phi2 [km^-1], phi3 [km^-1]
1.000000000000000000e+02,2.358670023664161119e-01,4.608363330255316886e-02,2.479707135188428599e-02,2.814918766641517078e-01,1.417979366882710646e-01,2.465950992115203411e-01
1.333521432163323936e+02,2.461677979760073520e-01,4.819568620208285192e-02,2.614241021392068806e-02,2.943373741701874047e-01,1.508061357136254999e-01,2.678419080498312121e-01
1.778279410038922776e+02,2.560885085325775301e-01,5.034488760014817904e-02,2.752123278212264407e-02,3.068696817737597837e-01,1.601089309261047311e-01,2.900485022428443971e-01
2.371373705661655151e+02,2.655636101389725057e-01,5.251193697129604571e-02,2.892412756136158655e-02,3.190107794831588128e-01,1.696564185960774684e-01,3.131225375593529314e-01
3.162277660168379612e+02,2.745495049452033598e-01,5.468416880877676606e-02,3.034178757259004683e-02,3.306963158514409917e-01,1.794054581624263955e-01,3.370307113419268030e-01
4.216965034285822753e+02,2.830107785118816111e-01,5.684916037227591423e-02,3.176461950487154129e-02,3.418742630760550627e-01,1.892993513520161986e-01,3.616568199597170463e-01
5.623413251903490391e+02,2.909204555548804971e-01,5.898357066341019389e-02,3.318328220597231704e-02,3.525080183644872522e-01,1.992878873365453718e-01,3.869321811118248133e-01
7.498942093324558300e+02,2.982743494788810401e-01,6.107934101274396094e-02,3.458844561243081678e-02,3.625714742951964831e-01,2.093128441964709208e-01,4.127267146953102483e-01
1.000000000000000000e+03,3.050243381056312320e-01,6.311799009356079682e-02,3.597113638364247273e-02,3.720529675849350015e-01,2.193216687719270752e-01,4.389460125110764555e-01
1.333521432163324107e+03,3.112770113639420355e-01,6.508794411877766306e-02,3.732270413271087522e-02,3.809499469114968062e-01,2.292578668694905675e-01,4.654519724373325507e-01
1.778279410038922833e+03,3.170101453488520793e-01,6.698233448309269533e-02,3.863514050256595944e-02,3.892695970735960409e-01,2.390703055706004942e-01,4.921326123455788681e-01
2.371373705661655094e+03,3.222645705070137367e-01,6.880237697685358256e-02,3.990120167268549484e-02,3.970265193408212268e-01,2.487071725525707155e-01,5.188458778312656783e-01
3.162277660168379498e+03,3.270602931136890601e-01,7.053236897207225409e-02,4.111472373087167453e-02,4.042423025362308908e-01,2.581221920668839709e-01,5.454662233685901862e-01
4.216965034285822185e+03,3.314343633226998209e-01,7.216831007994424507e-02,4.227077618561115441e-02,4.109440357456493609e-01,2.672727790060540065e-01,5.718637423923488283e-01
5.623413251903491073e+03,3.354263320545221583e-01,7.370912401168094874e-02,4.336587038569209018e-02,4.171632496329717998e-01,2.761207506287422508e-01,5.979015429683931515e-01
7.498942093324558300e+03,3.390769653632622060e-01,7.515603764493442029e-02,4.439805238170334289e-02,4.229348213780746990e-01,2.846351841898833723e-01,6.234593002132031714e-01
1.000000000000000000e+04,3.424259735938970373e-01,7.651224742661673350e-02,4.536693770477708693e-02,4.282958861571094511e-01,2.927910206347787980e-01,6.484140939941773762e-01
1.333521432163324062e+04,3.455131547398793690e-01,7.778274498539959614e-02,4.627362121444328347e-02,4.332848161899127692e-01,3.005711871892485232e-01,6.726614320928289148e-01
1.778279410038922651e+04,3.483757186580990206e-01,7.897390702638361348e-02,4.712060041531301868e-02,4.379405452962106260e-01,3.079656212640745072e-01,6.961027929968149897e-01
