# Flavour-composition curves of IceCube's three-flavour characterization,
# extracted from the vector paths of arXiv:2510.24957 Fig. 1 (MESE fit) by
# extract_flavor2510_fig1.py: barycentric map through the triangle's own
# vertices (bottom-left nu_tau, bottom-right nu_e, top nu_mu). The inline
# '68% CL' / '95% CL' labels cut the strokes in the source; those gaps are
# bridged with tangent-matched cubic arcs. The 95% contour leaves the
# triangle through f_tau = 0 and stays open there.
# name,f_e,f_mu,f_tau
contour68,0.2980,0.5086,0.1934
contour68,0.3026,0.5108,0.1866
contour68,0.3037,0.5106,0.1857
contour68,0.3136,0.5102,0.1762
contour68,0.3150,0.5105,0.1745
contour68,0.3246,0.5098,0.1656
contour68,0.3269,0.5098,0.1633
contour68,0.3342,0.5137,0.1521
contour68,0.3357,0.5138,0.1505
contour68,0.3434,0.5157,0.1409
contour68,0.3467,0.5177,0.1355
contour68,0.3542,0.5161,0.1297
contour68,0.3577,0.5160,0.1262
contour68,0.3655,0.5161,0.1184
contour68,0.3785,0.5143,0.1072
contour68,0.3797,0.5144,0.1058
contour68,0.3875,0.5165,0.0960
contour68,0.3908,0.5157,0.0935
contour68,0.4017,0.5116,0.0866
contour68,0.4127,0.5061,0.0812
contour68,0.4236,0.5004,0.0760
contour68,0.4346,0.4932,0.0723
contour68,0.4455,0.4853,0.0692
contour68,0.4564,0.4750,0.0686
contour68,0.4673,0.4643,0.0684
contour68,0.4782,0.4503,0.0715
contour68,0.4810,0.4462,0.0728
contour68,0.4890,0.4320,0.0790
contour68,0.4929,0.4233,0.0838
contour68,0.4997,0.4070,0.0933
contour68,0.5005,0.4047,0.0948
contour68,0.5027,0.3914,0.1059
contour68,0.5039,0.3791,0.1170
contour68,0.4993,0.3609,0.1399
contour68,0.4959,0.3537,0.1504
contour68,0.4922,0.3463,0.1616
contour68,0.4889,0.3384,0.1727
contour68,0.4880,0.3368,0.1752
contour68,0.4799,0.3250,0.1950
contour68,0.4763,0.3176,0.2062
contour68,0.4708,0.3119,0.2173
contour68,0.4656,0.3044,0.2299
contour68,0.4614,0.2989,0.2396
contour68,0.4545,0.2917,0.2538
contour68,0.4507,0.2874,0.2620
contour68,0.4434,0.2801,0.2765
contour68,0.4381,0.2775,0.2843
contour68,0.4311,0.2734,0.2955
contour68,0.4255,0.2678,0.3067
contour68,0.4180,0.2641,0.3179
contour68,0.4101,0.2589,0.3310
contour68,0.4043,0.2554,0.3402
contour68,0.3990,0.2520,0.3490
contour68,0.3880,0.2473,0.3648
contour68,0.3808,0.2454,0.3738
contour68,0.3769,0.2441,0.3789
contour68,0.3727,0.2423,0.3850
contour68,0.3641,0.2397,0.3962
contour68,0.3569,0.2357,0.4074
contour68,0.3548,0.2352,0.4100
contour68,0.3438,0.2331,0.4231
contour68,0.3373,0.2329,0.4298
contour68,0.3201,0.2277,0.4522
contour68,0.3016,0.2238,0.4746
contour68,0.2996,0.2233,0.4771
contour68,0.2886,0.2236,0.4877
contour68,0.2776,0.2250,0.4973
