# KM3NeT/ARCA21 effective area, bright-track selection, all-flavour nu+nubar,
# averaged over the full 4pi sky.
# Source: KM3NeT Collaboration, Nature 638 (2025) 376, public data release
#   https://doi.org/10.5281/zenodo.14860165 (uhe-event-v1.0),
#   data/supplementary/simulations/effective_area_brighttrackselection_allflavour_skyavg.json
# Convention (from the release notebook "Expected events per flux"):
#   N = 4 pi T Integral A_eff(E) Phi_per-flavour(E) dE.
# E_nu [GeV], A_eff [cm^2]
1.122018e+05,0.000000e+00
1.412538e+05,0.000000e+00
1.778279e+05,0.000000e+00
2.238721e+05,0.000000e+00
2.818383e+05,0.000000e+00
3.548134e+05,0.000000e+00
4.466836e+05,4.596467e+01
5.623413e+05,1.444902e+02
7.079458e+05,5.392844e+02
8.912509e+05,2.728557e+03
1.122018e+06,3.221882e+03
1.412538e+06,8.827830e+03
1.778279e+06,1.736171e+04
2.238721e+06,2.342434e+04
2.818383e+06,4.879466e+04
3.548134e+06,6.664828e+04
4.466836e+06,9.988484e+04
5.623413e+06,1.589064e+05
7.079458e+06,2.805929e+05
8.912509e+06,2.996475e+05
1.122018e+07,3.757235e+05
1.412538e+07,4.680554e+05
1.778279e+07,5.925613e+05
2.238721e+07,8.230621e+05
2.818383e+07,9.506365e+05
3.548134e+07,1.128624e+06
4.466836e+07,1.338994e+06
5.623413e+07,1.666554e+06
7.079458e+07,1.930593e+06
8.912509e+07,2.218656e+06
1.122018e+08,2.267037e+06
1.412538e+08,2.825371e+06
1.778279e+08,3.535653e+06
2.238721e+08,4.056000e+06
2.818383e+08,4.190110e+06
3.548134e+08,4.743605e+06
4.466836e+08,5.286341e+06
5.623413e+08,6.211035e+06
7.079458e+08,6.690046e+06
8.912509e+08,7.447205e+06
1.122018e+09,7.742890e+06
1.412538e+09,8.231726e+06
1.778279e+09,9.808192e+06
2.238721e+09,1.040303e+07
2.818383e+09,1.297128e+07
3.548134e+09,1.355578e+07
4.466836e+09,1.409049e+07
5.623413e+09,1.639847e+07
7.079458e+09,1.647357e+07
8.912509e+09,1.758606e+07
1.122018e+10,2.032159e+07
1.412538e+10,1.833745e+07
1.778279e+10,2.169727e+07
2.238721e+10,2.513135e+07
2.818383e+10,2.530901e+07
3.548134e+10,2.745592e+07
4.466836e+10,2.924300e+07
5.623413e+10,3.032168e+07
7.079458e+10,3.186113e+07
8.912509e+10,3.534395e+07
