# KM3NeT/ARCA nu_mu effective area at trigger level, full detector
# (two building blocks, 230 detection units).
# Source: digitized from KM3NeT Collaboration, Eur. Phys. J. C 84 (2024) 885
#   [arXiv:2402.08363v2], Fig. 7.
# E_nu [GeV], A_eff [m^2]
1057.3823760412865, 0.38697785672845697
1154.1034140157894, 0.4744005810431387
1290.4291864834481, 0.5937736278068718
1232.1348114465327, 0.514633301783076
1445.7038077856691, 0.7351847392778605
1612.4775280100623, 0.8979395515888873
1812.0793662982335, 1.118911428929703
1730.2197530144497, 0.9716330086789555
2030.12305309541, 1.372744092888281
2281.4234813557096, 1.657650509652175
2563.83133689611, 2.0181444214664372
2881.197277826044, 2.4342129632179654
3213.5668725768633, 2.9491076881031972
3600.2485939726157, 3.48133905495377
4045.9082854525827, 4.138143935466994
4546.734323207229, 4.9071858895333476
5109.555518142003, 5.894429532832362
5742.04599105746, 6.932255800685848
6452.829810020015, 8.126296677626504
7197.216334836756, 9.419915412032793
8063.24219082918, 10.961416993467788
9061.357163531133, 12.91031248154338
10217.432379141856, 15.059076261213134
11443.538565431649, 17.29966317926784
12860.086265789729, 19.771698384000114
14496.588886551757, 22.560168062129247
16136.99947269347, 25.80560269083887
18206.204192959634, 29.460006525544213
20310.54228049192, 33.13647323363312
22992.51602737484, 38.09049139088114
25778.985532754064, 43.048433418986235
29088.51288180425, 48.240532141728316
32467.06556009525, 53.13889880528825
36735.724347528405, 61.11460624870578
41283.08577318703, 67.95526243639222
46393.34602016587, 75.4880600151117
51754.64894542588, 82.2932882391642
58161.140130586566, 91.39856403666607
65842.50253142732, 103.05821950674056
73992.8700959201, 113.0013460090869
83152.1375181397, 122.5624193920436
93445.1922850449, 134.29593040373533
106132.4283746466, 148.30803358408502
119270.11707887969, 160.6634154166483
134034.06523211015, 174.25718893357174
150625.58067889092, 190.24236295698043
170240.65875349517, 202.7008953178837
190224.22473056134, 224.75240288887443
213771.28463285926, 240.71516603281697
240233.13643838488, 259.9873970388399
269970.59002634976, 277.9516908062329
303389.11841942655, 300.8043020470373
340944.3864471795, 323.2686051112771
383148.4637795768, 346.6442730011328
430576.8070458993, 373.9482297273265
483876.10624089424, 398.20155538117984
543773.1024046784, 425.107995700695
611084.496806299, 456.12142131587177
686728.0867436207, 489.8452647861028
771735.2797972236, 520.2692449823339
867265.1571713681, 550.3727752334801
972554.4471074964, 594.4213533953163
1095264.4392485425, 632.4208988053379
1230842.635960198, 672.1688089638544
1383203.4896858972, 716.4906465088487
1554424.4552324016, 759.0448980787484
1746840.1468342384, 805.1845859301332
1963074.1708419973, 850.0370936639927
2206074.898845721, 900.3707300441114
2479155.6690034415, 957.6685863883943
2786039.963723696, 1014.9506929215944
3130912.179704184, 1080.8730575839618
3518474.6825807462, 1126.7887906754952
3954011.924132384, 1198.1557756235384
4443462.496286504, 1269.462516833459
4993500.104387544, 1330.5584739022916
5611624.563807438, 1402.9913718223945
6306264.060645146, 1479.3673694288382
7086890.070849963, 1580.6378024949727
7964146.504701494, 1646.794832528686
8949994.837544022, 1734.359566513834
10068553.651707416, 1870.7475246236716
11302899.691014623, 1963.3696158722576
12702038.29426546, 2068.536045498395
14274370.404016456, 2201.374180434155
16041334.918904394, 2321.212514804902
18027024.5690175, 2440.2395545795434
20258514.42257379, 2577.719061358613
22766231.057064418, 2790.7903091274643
25584367.428546946, 2898.884162377045
28751349.09586988, 3032.7512444443055
32310358.15684128, 3140.964576589044
36309922.04026093, 3333.8934863767336
40804575.18205097, 3504.8487393216546
45855602.60750392, 3655.9294068069908
51531875.558460996, 3910.8892781161076
57910790.55927959, 3961.229258596852
65079324.72584153, 4224.962346751272
73135221.70684429, 4573.996679328503
82188324.42779472, 4831.68892364242
92362072.80980012, 4864.592558509838
98432664.32061872, 4865.080495556281
