km3net_0.08g-0.25,,km3net_-0.25g-0.5,,km3net_-0.5g-0.75,,km3net_-0.75g-1.0,
X,Y,X,Y,X,Y,X,Y
1095.5801445014972,0.30133934429409176,1106.0113368304606,0.35040680734151297,1079.517654966991,0.3232002560833973,1104.4562974291214,0.3730603666761557
1288.9377595617516,0.40149485867729157,1332.655521567701,0.5051022554963531,1287.5313528854547,0.4198227480736537,1019.7153748126784,0.2892360281036262
1516.2871194782444,0.6149749804281213,1583.0274730094432,0.6124286827201765,1525.0124815313611,0.6198375290140036,1294.9823183063122,0.475628183850205
1818.410703095717,0.7928978803740279,1895.1888529516496,0.9600636420755602,1871.2630110499783,0.8771126247972933,1673.6971926067517,0.7617075224235732
2234.7262596498895,1.3059022670356877,2309.4090827092173,1.1946804476143467,2309.3359939746365,1.2559890053799505,2066.919850961026,1.0240255303463157
2691.0424271016177,1.658362067216591,3204.0130741217645,2.292591139596351,2822.7692639755574,1.8461417728663714,2703.927444700809,1.6823275721890079
3076.4440417471205,2.1208016605979414,4120.8548383755315,3.567381318366359,3450.430428840292,2.6199989454299595,3328.0723762586094,2.4079706341944322
4328.725915136817,3.6377040782956778,5565.991791423934,4.930913952587733,4258.387860221129,3.4927109458337844,4075.0163555489244,3.4210505746256237
5082.560926426804,4.4175534020262734,6869.279247144119,6.653565825174662,5205.567246367175,4.5263193144057015,5019.786041791434,4.31375829360599
6042.58670949549,6.331346738355477,7853.485346052921,7.831350445584145,6362.893580514502,6.693357942719704,6195.382225327572,5.525717076597585
7414.888628658036,8.320782780298273,10818.599466771882,13.334747096296491,7853.133431196487,8.406392276628564,7476.423075560184,7.5633152722906445
9151.185029711485,11.061581836942098,11961.540142467813,14.926028641004025,9707.807258896722,10.67216928464097,9210.856479710394,9.172312630994872
11140.821778229842,14.410669921439153,17203.334937741765,24.411005557721378,11961.22891554587,15.552938703019771,11295.187365811667,12.555848936259231
13938.820336284762,19.317199077271212,30539.82704356129,43.33451780102555,14762.34568654292,20.165583964403048,13940.519947510247,15.929934537145025
17203.026797102124,25.11228519931527,39012.50227158639,57.64292094824671,18219.70841161605,25.536341320940437,17205.36772306222,20.250935847287042
