# nu_mu-bar CC cross section per target [cm^2].
# Built as the shipped BGR18 nu_mu table times the antineutrino/neutrino
# ratio of the LeptonInjector isoscalar splines
#   sigma_{nu,nubar}_CC_iso.fits (order-2 B-spline, 80 knots, log10 E -> log10 sigma).
# Only the ratio is taken, so the splines' absolute unit convention cancels;
# both files share UNITS, TARGETMASS and ORDER, and the ratio is clamped to
# the spline's tabulated range at the edges.
# Filenames follow the loader's convention and are nu_mu-bar despite the name.
# E_nu [GeV], sigma [cm^2]
114.1588057,2.143698799e-37
157.9167839,2.940259526e-37
206.3381846,4.026888633e-37
269.6068485,5.441784718e-37
357.8612419,7.467439932e-37
475.0052498,1.02185185e-36
630.4957368,1.383857584e-36
836.8852223,1.879767665e-36
1110.835228,2.528725053e-36
1451.446253,3.341717458e-36
1957.118552,4.574671814e-36
2723.316825,6.377179888e-36
3730.325891,8.758466379e-36
5190.722482,1.195238899e-35
7110.11157,1.670481659e-35
9773.347456,2.236035699e-35
13766.97383,2.969834174e-35
19460.40851,3.968877924e-35
27508.40556,5.353836549e-35
40127.65168,7.436223443e-35
56722.74126,9.739719264e-35
80180.85387,1.265611732e-34
113340.2439,1.613021941e-34
160212.9469,2.021120506e-34
226470.2057,2.524614202e-34
320128.648,3.124048551e-34
452520.2374,3.802876123e-34
639663.3559,4.587377321e-34
904200.9065,5.503584877e-34
1278139.934,6.598958073e-34
1806724.234,7.735197074e-34
2553908.513,9.230223371e-34
3610096.423,1.089538557e-33
5103078.718,1.258925922e-33
7213494.973,1.450978894e-33
10196689.61,1.704678354e-33
14413606.63,1.957426771e-33
20374461.13,2.266288861e-33
28800471.45,2.600350977e-33
40711121.18,2.977976597e-33
57547508.91,3.411185741e-33
80582462.84,3.865814036e-33
114988249,4.413291832e-33
167211175.9,5.086636278e-33
237107479,5.810451894e-33
335165044.9,6.581505338e-33
473775048.5,7.402391513e-33
669708252.6,8.353040583e-33
946671094.3,9.398307886e-33
1338173984,1.060934261e-32
1891585814,1.19416392e-32
2673865232,1.335247273e-32
3779662137,1.507264299e-32
5342769598,1.676990066e-32
7552311804,1.882856311e-32
9487464214,1.962683097e-32
