# nu_mu-bar NC cross section per target [cm^2].
# Built as the shipped BGR18 nu_mu table times the antineutrino/neutrino
# ratio of the LeptonInjector isoscalar splines
#   sigma_{nu,nubar}_NC_iso.fits (order-2 B-spline, 80 knots, log10 E -> log10 sigma).
# Only the ratio is taken, so the splines' absolute unit convention cancels;
# both files share UNITS, TARGETMASS and ORDER, and the ratio is clamped to
# the spline's tabulated range at the edges.
# Filenames follow the loader's convention and are nu_mu-bar despite the name.
# E_nu [GeV], sigma [cm^2]
113.6497239,1.100864108e-37
162.2336833,1.627189134e-37
213.6047726,2.215595757e-37
282.1428518,2.994228982e-37
373.1938504,4.002446385e-37
505.8574269,5.49971598e-37
737.9152013,8.130020319e-37
1057.774746,1.17916796e-36
1428.790416,1.592726026e-36
1926.569601,2.138192126e-36
2854.929972,3.141154603e-36
4150.070445,4.525365976e-36
6247.39054,6.653874653e-36
9404.632783,9.56784891e-36
13552.08312,1.315649491e-35
18709.87462,1.744869511e-35
27412.40255,2.37510103e-35
38191.82334,3.054494574e-35
54773.94641,4.012483606e-35
77001.92288,5.146998068e-35
108541.2852,6.514222325e-35
152483.9931,8.129895496e-35
225679.8356,1.045134749e-34
320128.648,1.283545301e-34
461507.2673,1.589173352e-34
663083.8581,1.944302227e-34
990241.6794,2.423135073e-34
1441983.76,2.946370457e-34
1994520.822,3.463780744e-34
2873747.211,4.169670196e-34
4244194.002,4.994609072e-34
6261146.434,5.985071963e-34
9574794.867,7.201804235e-34
15840440.22,9.002952615e-34
23107106.89,1.054245313e-33
34784739.9,1.255116483e-33
49558532.9,1.429837145e-33
76385385.31,1.712331947e-33
130410602.9,2.107161215e-33
222646325.4,2.580751664e-33
358811138.8,3.075286975e-33
524786895.3,3.549425549e-33
834717799.3,4.190878589e-33
1345209914,4.959332159e-33
2014446647,5.700166417e-33
3129419734,6.635606195e-33
4458548528,7.417954265e-33
6163237693,8.262537724e-33
9430230170,9.503677084e-33
